,ale_score,abe_score,u_score,seq_score,u_average,a_average,g_average,c_average,BSP,BSlen,sRNA_MFE,mRNA_MFE,FA,After_BSP_sRNA_Ale,After_BSP_sRNA_Abe,Before_BSP_sRNA_Ale,Before_BSP_sRNA_Abe,After_BSP_sRNA_len,Before_BSP_sRNA_len,HE,is_upreg
0,-0.3834615484,-0.2174444444,1.107692308,0.0007222222222,0.1805555556,0.2361111111,0.2777777778,0.3055555556,21,23,-5.800000191,-5.0,319.7465266,-0.5094478509130299,-0.13285714285714287,1.0,1.0,49.0,0.0,-17.96,0
1,-0.1845552319,-0.2427142857,2.352,0.01835714286,0.2976190476,0.3333333333,0.1785714286,0.1904761905,-66,18,0.0,0.0,207.8766582,-0.07874015748031496,-0.45357142857142857,-0.08695652173913043,-0.3108108108108108,28.0,37.0,-20.2,0
2,-0.2376580791,-0.190091954,2.784,0.01765517241,0.2873563218,0.2873563218,0.1494252874,0.275862069,-14,17,0.0,0.0,187.8507484,-0.14816780877778438,-0.3058823529411765,0.0,0.0,51.0,16.0,-14.14,0
3,-0.2083043262,-0.2444444444,0.5578947368,0.01941509434,0.358490566,0.09433962264,0.2641509434,0.2830188679,-27,20,-1.200000048,-1.5,250.7088702,0.0,0.0,-0.37652645861601086,-0.17903225806451614,1.0,31.0,-18.54,0
4,-0.2083043262,-0.2444444444,0.5578947368,0.01941509434,0.358490566,0.09433962264,0.2641509434,0.2830188679,35,17,-0.8999999762,-5.5,184.2277121,1.0,1.0,-0.8827076737524499,-0.10500000000000002,0.0,35.0,-24.3,0
5,-0.2083043262,-0.2444444444,0.5578947368,0.01941509434,0.358490566,0.09433962264,0.2641509434,0.2830188679,-17,17,0.0,0.0,189.2108287,0.0,0.0,-0.03741496598639455,-0.02685714285714286,11.0,25.0,-20.51,0
6,-0.2083043262,-0.2444444444,0.5578947368,0.01941509434,0.358490566,0.09433962264,0.2641509434,0.2830188679,10,9,0.0,0.0,65.81227301,-0.20183370003856346,-0.3457236842105263,0.0,0.0,38.0,5.0,-14.41,0
7,-0.2133468625,-0.2465770492,2.269767442,0.01616393443,0.3524590164,0.2049180328,0.2295081967,0.2131147541,42,22,0.0,-2.0,295.2679934,-0.28369747149971847,-0.22315000000000002,0.0,0.0,100.0,1.0,-23.68,0
8,-0.2133468625,-0.2465770492,2.269767442,0.01616393443,0.3524590164,0.2049180328,0.2295081967,0.2131147541,-17,19,0.0,0.0,230.3296832,-0.2409523070325129,-0.18925925925925927,-0.261392899549804,-0.26439024390243904,60.0,41.0,-17.3,0
9,-0.1791774256,-0.2980194175,2.086075949,0.01813592233,0.3834951456,0.1893203883,0.2330097087,0.1941747573,-22,10,0.0,0.0,77.79987267,-0.19382513949983635,-0.2580357142857143,-0.1817938751874057,-0.2993741496598639,48.0,147.0,-16.59,0
10,-0.2706304521,-0.189961165,2.06,0.01734951456,0.3398058252,0.1941747573,0.2038834951,0.2621359223,-49,19,-0.5,-1.399999976,227.5214683,-0.20604886939487932,-0.21301587301587305,0.6071428571428572,0.09736842105263159,63.0,19.0,-20.96,0
11,-0.2722868882,-0.2312577833,1.904347826,0.03473972603,0.3150684932,0.2602739726,0.2054794521,0.2191780822,218,14,0.0,0.0,133.6647217,-0.22563490521135088,-0.2760245901639344,1.0,1.0,61.0,0.0,-10.5,0
12,-0.2722868882,-0.2312577833,1.904347826,0.03473972603,0.3150684932,0.2602739726,0.2054794521,0.2191780822,-8,18,-0.200000003,-0.1000000015,206.8968559,-0.2243436146165891,-0.3288461538461539,1.0,1.0,52.0,0.0,-13.17,0
13,-0.2722868882,-0.2312577833,1.904347826,0.03473972603,0.3150684932,0.2602739726,0.2054794521,0.2191780822,1227,18,-0.200000003,0.0,208.5242515,-0.2243436146165891,-0.33529411764705885,1.0,1.0,51.0,0.0,-13.85,0
